subject,puzzle,event,move,prev_move,s_free,s_fixed,d_goal,Lopt,attempt,RT,timestamp,first_move
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb12715_11,win,"(0, 0)","(2, 3)","Int8[4, 4, 1, 1, 1, 1, 1, 1, 1]","(Car(3, :x, 2), Car(6, :y, 3), Car(4, :y, 2), Car(5, :x, 3), Car(2, :x, 2), Car(3, :y, 3), Car(6, :x, 2), Car(5, :y, 2), Car(4, :x, 2))",0,9,1,0,1517522759341,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,start,"(0, 0)","(0, 0)","Int8[3, 1, 4, 3, 2, 1, 2, 5, 3]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",14,14,1,0,1517522768512,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(9, -2)","(0, 0)","Int8[3, 1, 4, 3, 2, 1, 2, 5, 3]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",14,14,1,2446,1517522770958,true
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(4, 2)","(9, -2)","Int8[3, 1, 4, 3, 2, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",15,14,1,3428,1517522774386,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(3, 1)","(4, 2)","Int8[3, 1, 4, 5, 2, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",14,14,1,1843,1517522776229,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(3, -1)","(3, 1)","Int8[3, 1, 5, 5, 2, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",15,14,1,4162,1517522780391,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(5, -1)","(3, -1)","Int8[3, 1, 4, 5, 2, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",14,14,1,3595,1517522783986,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(1, -1)","(5, -1)","Int8[3, 1, 4, 5, 1, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",14,14,1,2397,1517522786383,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(4, -2)","(1, -1)","Int8[2, 1, 4, 5, 1, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",14,14,1,5536,1517522791919,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(5, 2)","(4, -2)","Int8[2, 1, 4, 3, 1, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",15,14,1,2693,1517522794612,false
